SUPT4H1 	HTATIP2
IGFBP1 	PIK3CG
IL22 	F11R
MYOM1 	MAPT
UBQLN3 	TLR2
FGF4 	APTX
SF3B14 	AURKA
FDX1 	CACNA1S
UAP1 	NEDD4
USP4 	SPTBN1
NCOR1 	INSC
STK25 	LEPR
MKNK2 	ANXA5
CALCRL 	ARHGAP32
LIMS1 	SRI
PSIP1 	MST4
PTPN18 	RABGAP1L
PPP5C 	SDR39U1
CEP170 	UBA3
ETFA 	CASC3
MASP1 	GPX7
S100A16 	MKNK2
PAIP2 	TNFRSF1B
TNFRSF21 	SF3B1
CAT 	SPSB1
NFAT5 	MAPK6
GALM 	CHEK1
MS4A1 	THOP1
AIF1 	RPL10
ACMSD 	PPARG
PDLIM5 	AOC3
KDM7A 	TES
CDKL5 	CDK16
ADAMTS5 	AP1G2
HMGCS2 	KCND3
NFASC 	ECT2
CSTB 	PUF60
TGM2 	PIM2
PDE6D 	RGS8
POLR3C 	ERG
TNFRSF13B 	BAK1
ZFYVE16 	SULT1A1
H2AFY2 	TOP1
CALCRL 	ACACA
CYP2A6 	DYNLL2
USP15 	PRKAR1B
TAF9 	GLP1R
BST2 	CYP2A13
RAB9A 	MAPKAPK2
CASP7 	ERH
NADK 	MVD
ASAP3 	AGO2
KDR 	IFIT5
STK11 	ALDH18A1
PPME1 	MAP2K5
FOXP3 	SENP1
ARHGAP20 	BRAF
PLXNA2 	ISG15
TAF1L 	MECR
DDI1 	DPY30
HK3 	RHPN2
MYCBP 	AP1G1
ITPK1 	PDE6D
CDC37 	C11orf54
HDDC3 	PPIL1
MELK 	SMG6
ALDH18A1 	RNASET2
TCEB1 	AIF1
GFPT1 	GIMAP2
MAOB 	RPA1
HJURP 	YAP1
TNFSF10 	ASL
BAI3 	SACS
SPOP 	STIP1
SULT1B1 	YARS2
MKNK1 	ZFPM1
MSH2 	NEIL1
NOTCH1 	NNMT
APRT 	ITGB4
ACOT11 	GPC1
RNF2 	ARG2
FGF19 	ACVR1
MAP1LC3C 	ITGA4
PIM1 	THTPA
BRK1 	PRKCG
THRA 	PEBP1
WDR61 	SDS
MAT1A 	UBQLN3
ERCC1 	TSTA3
SLC9A3R1 	IPO13
TES 	SULT2A1
MAN1B1 	SDSL
PRKCH 	RUVBL1
TAF1 	COL10A1
IL18 	RP2
PDPK1 	SATB1
TTN 	TNFRSF17
RPS27A 	DPYS
CSNK1G3 	CARM1
HK2 	ZFYVE9
MYNN 	SHMT1
CDC20 	SIGLEC7
MAP2K6 	CAPN13
RAF1 	ADA
CHMP5 	TKT
VAMP2 	UCK1
ARHGDIB 	RCC1
CALCRL 	MLH1
DKK1 	JUND
PGR 	PCTP
NUDT18 	CYP1A2
UBE2S 	HK3
AK2 	DCPS
SRM 	S100A4
ZBTB17 	SMS
RHOD 	DESI1
STAU1 	EIF4G2
FABP5 	KLRG1
SEMA7A 	NUDT5
CCNK 	KAT2B
AADAT 	RASGRP1
GRB14 	NR1H4
CHN1 	HIST1H1E
TPK1 	TXNDC5
ACOT4 	HTRA1
PDIA5 	ETF1
UBE2J2 	FOXM1
RHOD 	FECH
HLTF 	GINS2
MAOB 	STX6
CNOT7 	FABP5
TYW5 	RYR3
CHI3L1 	GLRX3
JUND 	JUP
VCP 	SOS1
SULT1B1 	TIGIT
UBA52 	CRAT
MAST1 	RALGPS1
TRAPPC6A 	NEDD4
ACADVL 	FKBP1A
TBX5 	ERP29
CEBPB 	BMX
USP7 	RRM2B
PPP1R13L 	ARNTL
PLEKHA3 	RGS3
HOMER3 	DDX52
MUM1 	SMS
DPF2 	FAF1
AKR1C3 	GRB14
IFIH1 	HSPA1L
RAP1GAP 	MTERFD1
ZDHHC17 	IFIH1
CHMP4C 	ADSL
UBE2G2 	DDX3X
SRPK2 	TAF11
PRPF19 	UCHL1
PNKP 	CD40LG
RECQL 	KIF2C
FGF10 	SNRPF
ARHGEF11 	PGAM5
TASP1 	SUV39H1
MET 	CCS
FKBP3 	TYMP
PDCD1 	ARG1
MAPRE1 	BCL2A1
TRIM33 	ELMO1
CHMP4B 	BTBD2
ZADH2 	IGFBP1
TLR2 	GSTP1
POU6F1 	KAT6A
KRAS 	SRSF1
GATM 	PIP4K2B
TOM1 	ATIC
GUCY1A3 	TRAF4
MTRR 	RAB11FIP2
NME1-NME2 	AOC1
PTPRJ 	SDS
GPI 	KPNB1
CHMP1A 	EIF4EBP2
PIK3C3 	COPS5
AHI1 	MEIS2
FBXL5 	NDST1
PTPRD 	MAP1LC3C
GBP1 	KANK2
NRP1 	RNLS
ENPEP 	RABGEF1
INADL 	NGB
ZC3HAV1 	CDKN3
U2AF2 	THBS2
DDX39B 	DDX52
CTDSP2 	GGA3
ZFPM1 	TBP
SULT1C4 	IGF1R
WDR92 	DCLK1
RSPO1 	TRIP10
PPP1CA 	ALK
UTY 	UBE2D2
DUSP9 	CCBL1
EP300 	GSTO2
NGB 	LRRC4
GRM5 	FGF8
RALGPS1 	HVCN1
CSTA 	SLAIN2
PLXNA2 	CARHSP1
IGF2R 	BCL2
CD69 	UBE2F
STS 	YWHAB
BROX 	GSTT2B
DDIT4 	GINS1
BPIFA1 	HIP1
ASAP3 	NEK2
TREX2 	ITGB7
SENP2 	UBE3A
CYP1A2 	SLC4A1
SEC14L2 	HDDC3
RAB4B 	PPARGC1A
NAMPT 	PPIP5K2
APITD1 	ARHGEF4
SEC13 	HSPB1
ITPKA 	RAB7A
MAP2K5 	TTC5
GPX8 	ACD
PPME1 	TCF12
VPS36 	OS9
SET 	MLYCD
GGPS1 	ETV1
VPS25 	PSPC1
PRKCH 	PRPF31
KDM4A 	CHP2
C9orf89 	CFL1
BARD1 	SNRPA
PANK3 	NMRAL1
RAD1 	CTNNBL1
MASP2 	BCL2L2
ARHGDIA 	KYNU
MVK 	ALDH1L1
SULT1A1 	SEPT3
APITD1 	SRP54
CLOCK 	POLK
BCL2L1 	XPC
EPHX2 	GTF2A1
MST4 	SOCS2
KDM4C 	DNM1
TCEB2 	CTDSP1
ZC3HAV1 	DDX3X
NFATC2IP 	YWHAZ
EZH2 	MAST1
LGR4 	JAK3
GSG2 	RIPK1
ANK1 	AKR1C4
ARL1 	TLR3
NUP43 	THYN1
SGTA 	HMBS
RAB21 	CDKL2
BCL2A1 	IST1
SUV420H1 	DSP
DDX20 	BCL2L2
GMNN 	TBC1D20
NT5E 	TAF5
THOP1 	BTLA
OXSM 	PLEKHB2
GOLGA4 	UBA2
CUTC 	EIF5A
MAPK6 	SAT1
CUTC 	PHYHD1
APBB1 	LIN28B
PMAIP1 	GAPDHS
GSS 	SUFU
DDX58 	ALKBH3
CDK6 	CD40LG
MST1R 	RAB11A
E2F1 	MEPCE
PLEK 	LASP1
RRAGC 	MBD4
PGR 	TNKS
GGCT 	UBR5
WAPAL 	ARHGEF4
MATK 	YWHAZ
RRP9 	DUSP3
YOD1 	POLR2G
ADK 	THBS2
SYTL4 	DCTD
MAPK7 	B3GAT3
THBS1 	RABGAP1L
PAPSS1 	GTF2F1
BECN1 	IGF2BP1
SYT1 	PLXNA2
C11orf30 	TASP1
NDEL1 	GATM
WDR92 	CNOT6L
ACO1 	PPARG
IL20RB 	PPARG
ANLN 	RPA3
FKBP14 	PDE6D
MAP2K5 	MTERFD2
RAB5A 	NR2F2
METAP2 	PTPRD
IL34 	BAK1
PABPC3 	USB1
CENPA 	SULT2A1
NUDT1 	ILK
ACO1 	ADAMTS4
PPIL1 	FGF23
BTF3 	AIFM1
TYMS 	CPSF7
EIF4G1 	GIMAP1
CUL5 	VCPKMT
CBX3 	CDC16
SETD1A 	BCR
DCPS 	S100A3
EIF4EBP2 	ZBP1
TLR10 	BRCA2
ETFB 	ETS2
RBBP9 	L3MBTL2
CNTF 	MAP3K3
GBP1 	RTF1
APBB1IP 	GATM
AKR1C3 	LAIR1
FNTB 	TRAPPC6B
RND1 	BMPR2
EPAS1 	CCNB1
PCNA 	IL10RB
NAIP 	CTDSP1
FEV 	TXNDC5
MORF4L1 	NRP1
AKR1C1 	TP53BP1
BRDT 	RPS6KB1
TBC1D7 	CLC
COTL1 	ADARB1
ESRRG 	CKS2
NNMT 	CAPN2
ADARB1 	ATXN2
IGF1R 	PTPN18
GFRA3 	ACTN1
KIF3C 	TRIM24
CDKN1B 	ALOX12
HBA2 	CNTN1
MAP3K5 	RAB28
PA2G4 	CYGB
ACBD7 	ADAP1
MPP7 	CYP11A1
PRKAA2 	HBP1
PHF20 	BACH1
MTOR 	SDSL
SPOP 	RAB7A
KAT5 	DDX19B
FGF10 	EIF2B5
PUS10 	UBE2G2
PTGR2 	TPX2
KPNA2 	CKMT2
PRKAA2 	OTUD1
EPHA4 	NTRK1
KDM4E 	TAT
U2AF1 	TLR4
CDC37 	ROR2
KHDRBS1 	ADAMTS1
ETV1 	SERPINB3
MATK 	PDGFRB
SPTAN1 	EIF4G1
TPH1 	PRKCH
ITSN1 	FCHO2
NCR3LG1 	C1QBP
MKNK1 	PDIA5
LHPP 	APP
RAP1B 	GALM
SLAMF1 	NRP2
UNG 	PPP5C
ACSS1 	MORF4L1
SNRPA1 	OCLN
TNC 	CES1
KAT6A 	DAPP1
OTC 	CFL1
SUV39H1 	PPME1
RHOU 	NEDD8
KAT2A 	CD5
ABHD14B 	CPOX
SRPK2 	NUDT16
KIF1A 	PTPRK
HDAC3 	RPRD2
PATL1 	LHPP
PDIA5 	RORA
PSMD10 	PC
SHMT1 	HSPA1A
NUP50 	PAICS
CDKN3 	CACYBP
PPIG 	NTRK1
CA7 	MCIDAS
TPI1 	SF3B14
DMAP1 	RASGRP1
PSPH 	HEXA
DPYS 	CSNK1G1
MTRR 	SPAG9
MPG 	SPOP
ASMTL 	CSNK2A2
HDAC3 	LNX1
SUV420H2 	ATF4
USP8 	CHKB
SRC 	ADAM33
SRM 	PEX5
CAMTA1 	HDAC8
RAD18 	CRYL1
PIWIL1 	DCAF5
SERPINB3 	PMM1
TATDN1 	AHCYL2
VIPR2 	PNPO
EED 	LAMTOR3
C9orf89 	TFDP1
BRCA1 	BCR
PPCDC 	POLRMT
JAK1 	CNOT6L
LY96 	NUDT21
UBE2F 	TXNDC12
ERP29 	CYP2R1
VIM 	RARB
DIMT1 	MAPK12
APOH 	FLCN
ENAH 	VPS4B
IL20 	PAXIP1
BMPR1B 	TNKS
ZBTB48 	CLIP1
PRDX2 	ERBB2IP
ALOX12 	AGER
SYMPK 	ROR2
FLCN 	HDDC3
FGFR1 	API5
BCL2L11 	UBAP1
MEPCE 	SEMA4D
CAPN7 	NCOA3
CST7 	PPARA
WARS 	GMNN
CHIT1 	BRPF1
DBI 	RTN4R
EDA 	SUMF1
CDKN1A 	NADK
RABIF 	ACYP1
ZBTB48 	BAZ2A
UTRN 	PARK2
NUMBL 	P4HB
SNRPA1 	LRP6
TDRD3 	YWHAG
JAG1 	ANKRD27
